Código,Hogares sin NBI,Hogares con NBI,Total,CO_FRAC_RA
020021401,247.0,1.0,248.0,2_14_1
020021402,303.0,3.0,306.0,2_14_2
020021403,174.0,1.0,175.0,2_14_3
020021404,369.0,0.0,369.0,2_14_4
020021405,496.0,3.0,499.0,2_14_5
020021406,526.0,6.0,532.0,2_14_6
020021407,331.0,17.0,348.0,2_14_7
020021408,376.0,4.0,380.0,2_14_8
020021409,537.0,68.0,605.0,2_14_9
020021410,510.0,27.0,537.0,2_14_10
020021501,264.0,2.0,266.0,2_15_1
020021502,387.0,1.0,388.0,2_15_2
020021503,626.0,4.0,630.0,2_15_3
020021504,309.0,1.0,310.0,2_15_4
020021505,262.0,5.0,267.0,2_15_5
020021506,285.0,1.0,286.0,2_15_6
020021507,365.0,2.0,367.0,2_15_7
020021508,334.0,5.0,339.0,2_15_8
020021601,319.0,2.0,321.0,2_16_1
020021602,293.0,15.0,308.0,2_16_2
020021603,304.0,1.0,305.0,2_16_3
020021604,282.0,2.0,284.0,2_16_4
020021605,363.0,23.0,386.0,2_16_5
020021606,317.0,1.0,318.0,2_16_6
020021607,359.0,0.0,359.0,2_16_7
020021608,194.0,2.0,196.0,2_16_8
020021701,569.0,2.0,571.0,2_17_1
020021702,381.0,1.0,382.0,2_17_2
020021703,452.0,2.0,454.0,2_17_3
020021704,165.0,3.0,168.0,2_17_4
020021705,289.0,1.0,290.0,2_17_5
020021706,448.0,4.0,452.0,2_17_6
020021707,575.0,2.0,577.0,2_17_7
020021708,430.0,59.0,489.0,2_17_8
020021709,358.0,8.0,366.0,2_17_9
020021801,434.0,24.0,458.0,2_18_1
020021802,534.0,14.0,548.0,2_18_2
020021803,394.0,3.0,397.0,2_18_3
020021804,261.0,6.0,267.0,2_18_4
020021805,244.0,6.0,250.0,2_18_5
020021806,348.0,19.0,367.0,2_18_6
020021807,253.0,24.0,277.0,2_18_7
020021808,247.0,88.0,335.0,2_18_8
020021901,389.0,4.0,393.0,2_19_1
020021902,305.0,1.0,306.0,2_19_2
020021903,293.0,12.0,305.0,2_19_3
020021904,471.0,28.0,499.0,2_19_4
020021905,358.0,3.0,361.0,2_19_5
020021906,422.0,2.0,424.0,2_19_6
