Código,Asiste,Asistió,Nunca asistió,Total
020021504,75.0,1.0,1.0,77.0
020021505,58.0,1.0,0.0,59.0
020021506,72.0,0.0,1.0,73.0
020021507,65.0,1.0,0.0,66.0
020021508,51.0,0.0,0.0,51.0
020021601,62.0,0.0,2.0,64.0
020021602,90.0,2.0,1.0,93.0
020021603,112.0,0.0,0.0,112.0
020021604,49.0,1.0,0.0,50.0
020021605,92.0,3.0,2.0,97.0
020021606,61.0,1.0,2.0,64.0
020021607,84.0,0.0,0.0,84.0
020021608,41.0,0.0,0.0,41.0
020021701,112.0,2.0,0.0,114.0
020021702,96.0,2.0,1.0,99.0
020021703,93.0,3.0,0.0,96.0
020021704,38.0,1.0,0.0,39.0
020021705,50.0,1.0,0.0,51.0
020021706,94.0,0.0,0.0,94.0
020021707,103.0,3.0,2.0,108.0
020021708,69.0,1.0,0.0,70.0
020021709,74.0,2.0,0.0,76.0
020021801,80.0,0.0,2.0,82.0
020021802,111.0,0.0,2.0,113.0
020021803,69.0,1.0,0.0,70.0
020021804,104.0,2.0,1.0,107.0
020021805,59.0,0.0,1.0,60.0
020021806,87.0,2.0,1.0,90.0
020021807,55.0,0.0,0.0,55.0
020021808,86.0,2.0,0.0,88.0
020021901,112.0,4.0,2.0,118.0
020021902,94.0,1.0,0.0,95.0
020021903,100.0,3.0,1.0,104.0
020021904,94.0,2.0,1.0,97.0
020021905,83.0,2.0,2.0,87.0
020021906,52.0,0.0,0.0,52.0
020021907,87.0,1.0,0.0,88.0
020021908,101.0,2.0,1.0,104.0
020022001,86.0,0.0,2.0,88.0
020022002,72.0,0.0,1.0,73.0
020022003,59.0,0.0,2.0,61.0
020022004,106.0,3.0,3.0,112.0
020022005,60.0,0.0,1.0,61.0
020022006,64.0,0.0,1.0,65.0
020022007,60.0,1.0,0.0,61.0
020022008,85.0,1.0,1.0,87.0
020022101,122.0,13.0,3.0,138.0
020022102,103.0,4.0,1.0,108.0
020022103,74.0,0.0,0.0,74.0
020022104,91.0,2.0,1.0,94.0
020022105,83.0,0.0,2.0,85.0
020022106,63.0,0.0,0.0,63.0
020022201,56.0,3.0,1.0,60.0
020022202,37.0,0.0,1.0,38.0
020022203,56.0,0.0,2.0,58.0
020022204,70.0,0.0,0.0,70.0
020022205,126.0,0.0,0.0,126.0
020022206,66.0,1.0,0.0,67.0
020022301,87.0,2.0,0.0,89.0
020022302,119.0,0.0,1.0,120.0
020022303,102.0,2.0,1.0,105.0
020022304,85.0,2.0,1.0,88.0
020022305,77.0,0.0,2.0,79.0
020022306,32.0,0.0,0.0,32.0
020022307,38.0,0.0,0.0,38.0
020022308,46.0,2.0,0.0,48.0
020022309,88.0,0.0,1.0,89.0
020022401,102.0,2.0,1.0,105.0
020022402,70.0,0.0,1.0,71.0
020022403,105.0,1.0,1.0,107.0
020022404,83.0,2.0,2.0,87.0
020022405,73.0,0.0,0.0,73.0
020022406,88.0,2.0,0.0,90.0
020022501,45.0,1.0,0.0,46.0
020022502,56.0,2.0,0.0,58.0
020022503,132.0,7.0,6.0,145.0
020022504,78.0,0.0,0.0,78.0
020022505,55.0,1.0,0.0,56.0
020022506,54.0,3.0,0.0,57.0
020022507,88.0,3.0,0.0,91.0
020022508,124.0,5.0,4.0,133.0
020022509,72.0,3.0,0.0,75.0
020022510,72.0,0.0,2.0,74.0
020022511,79.0,8.0,4.0,91.0
020030101,148.0,2.0,1.0,151.0
020030102,93.0,4.0,1.0,98.0
020030103,132.0,1.0,0.0,133.0
020030104,55.0,2.0,1.0,58.0
020030105,171.0,3.0,7.0,181.0
020030106,124.0,9.0,3.0,136.0
020030107,137.0,6.0,4.0,147.0
020030108,110.0,3.0,0.0,113.0
020030109,62.0,0.0,2.0,64.0
020030110,60.0,3.0,0.0,63.0
020030111,51.0,3.0,2.0,56.0
020030201,111.0,0.0,1.0,112.0
020030202,81.0,5.0,2.0,88.0
020030203,84.0,4.0,3.0,91.0
020030204,91.0,5.0,1.0,97.0
020030205,184.0,4.0,2.0,190.0
020030206,149.0,1.0,7.0,157.0
020030207,191.0,5.0,4.0,200.0
020030208,167.0,3.0,4.0,174.0
020030209,180.0,8.0,2.0,190.0
020030210,77.0,1.0,3.0,81.0
020030211,88.0,1.0,2.0,91.0
020030212,134.0,4.0,3.0,141.0
020030301,177.0,1.0,3.0,181.0
020030302,117.0,5.0,4.0,126.0
020030303,91.0,2.0,3.0,96.0
020030304,71.0,0.0,0.0,71.0
020030305,76.0,3.0,5.0,84.0
020030306,124.0,5.0,1.0,130.0
020030307,116.0,3.0,4.0,123.0
020030308,141.0,3.0,1.0,145.0
020030309,34.0,0.0,2.0,36.0
020030310,157.0,4.0,11.0,172.0
020030311,174.0,0.0,0.0,174.0
020030401,84.0,0.0,3.0,87.0
020030402,72.0,3.0,2.0,77.0
020030403,53.0,2.0,0.0,55.0
020030404,122.0,3.0,1.0,126.0
020030405,103.0,4.0,2.0,109.0
020030406,85.0,2.0,4.0,91.0
020030407,85.0,4.0,3.0,92.0
020030408,132.0,1.0,3.0,136.0
020030501,104.0,3.0,3.0,110.0
020030502,79.0,0.0,1.0,80.0
020030503,94.0,2.0,1.0,97.0
020030504,50.0,2.0,0.0,52.0
020030505,44.0,2.0,1.0,47.0
020030506,45.0,0.0,0.0,45.0
020030507,77.0,0.0,4.0,81.0
020030601,73.0,1.0,3.0,77.0
020030602,29.0,4.0,2.0,35.0
020030603,59.0,2.0,2.0,63.0
020030604,51.0,0.0,2.0,53.0
020030605,100.0,4.0,2.0,106.0
020030606,40.0,0.0,0.0,40.0
020030607,68.0,0.0,1.0,69.0
020030701,41.0,1.0,1.0,43.0
020030702,86.0,1.0,2.0,89.0
020030703,108.0,2.0,1.0,111.0
020030704,62.0,1.0,0.0,63.0
020030705,50.0,1.0,0.0,51.0
020030706,45.0,1.0,4.0,50.0
020030707,88.0,5.0,1.0,94.0
020030708,35.0,1.0,0.0,36.0
020030709,105.0,2.0,5.0,112.0
020030801,83.0,1.0,4.0,88.0
020030802,84.0,0.0,2.0,86.0
020030803,102.0,13.0,2.0,117.0
020030804,78.0,5.0,0.0,83.0
020030805,84.0,6.0,0.0,90.0
020030806,65.0,1.0,2.0,68.0
020030807,60.0,3.0,0.0,63.0
020030808,83.0,4.0,2.0,89.0
020030809,107.0,0.0,5.0,112.0
020030810,72.0,1.0,2.0,75.0
020030901,143.0,3.0,6.0,152.0
020030902,63.0,4.0,0.0,67.0
020030903,115.0,2.0,3.0,120.0
020030904,150.0,5.0,9.0,164.0
020030905,100.0,6.0,7.0,113.0
020030906,63.0,8.0,2.0,73.0
020030907,106.0,5.0,4.0,115.0
020030908,81.0,4.0,0.0,85.0
020030909,124.0,3.0,3.0,130.0
020030910,117.0,4.0,3.0,124.0
020031001,97.0,2.0,2.0,101.0
020031002,114.0,4.0,2.0,120.0
020031003,105.0,8.0,5.0,118.0
020031004,125.0,1.0,1.0,127.0
020031005,65.0,1.0,2.0,68.0
020031006,141.0,14.0,3.0,158.0
020031007,99.0,8.0,1.0,108.0
020031008,73.0,5.0,3.0,81.0
020031101,103.0,2.0,2.0,107.0
020031102,88.0,2.0,0.0,90.0
020031103,127.0,9.0,2.0,138.0
020031104,133.0,5.0,7.0,145.0
020031105,87.0,7.0,1.0,95.0
020031106,121.0,2.0,1.0,124.0
020031107,73.0,4.0,3.0,80.0
020031108,75.0,1.0,1.0,77.0
020031201,59.0,0.0,2.0,61.0
020031202,95.0,4.0,2.0,101.0
020031203,44.0,5.0,3.0,52.0
020031204,65.0,0.0,1.0,66.0
020031205,82.0,3.0,1.0,86.0
020031206,30.0,5.0,1.0,36.0
020031207,92.0,1.0,1.0,94.0
020031208,56.0,1.0,2.0,59.0
020031209,44.0,2.0,0.0,46.0
020031210,135.0,4.0,1.0,140.0
020031301,91.0,1.0,2.0,94.0
020031302,111.0,4.0,0.0,115.0
020031303,106.0,1.0,1.0,108.0
020031304,80.0,2.0,1.0,83.0
020031305,72.0,0.0,1.0,73.0
020031306,121.0,0.0,3.0,124.0
020031307,69.0,1.0,0.0,70.0
020031308,49.0,1.0,0.0,50.0
020031309,67.0,2.0,0.0,69.0
020031310,106.0,3.0,4.0,113.0
020031311,104.0,7.0,7.0,118.0
020031401,99.0,6.0,4.0,109.0
020031402,150.0,3.0,1.0,154.0
020031403,151.0,7.0,4.0,162.0
020031404,104.0,7.0,4.0,115.0
020031405,136.0,5.0,7.0,148.0
020031406,117.0,5.0,4.0,126.0
020031407,87.0,1.0,4.0,92.0
020031408,88.0,6.0,4.0,98.0
020031409,19.0,2.0,0.0,21.0
020031410,91.0,6.0,4.0,101.0
020031501,93.0,5.0,5.0,103.0
020031502,138.0,2.0,6.0,146.0
020031503,115.0,3.0,1.0,119.0
020031504,106.0,2.0,1.0,109.0
020031505,66.0,3.0,6.0,75.0
020031506,89.0,3.0,2.0,94.0
020031507,146.0,5.0,5.0,156.0
020031508,134.0,2.0,4.0,140.0
020031509,31.0,0.0,1.0,32.0
020031601,123.0,4.0,8.0,135.0
020031602,131.0,1.0,3.0,135.0
020031603,112.0,3.0,2.0,117.0
020031604,71.0,0.0,0.0,71.0
020031605,110.0,8.0,2.0,120.0
020031606,129.0,8.0,0.0,137.0
020031607,126.0,4.0,5.0,135.0
020031608,109.0,5.0,3.0,117.0
020031609,197.0,0.0,2.0,199.0
020031701,117.0,2.0,7.0,126.0
020031702,134.0,3.0,3.0,140.0
020031703,55.0,1.0,1.0,57.0
020031704,202.0,5.0,6.0,213.0
020031705,121.0,4.0,5.0,130.0
020031706,118.0,5.0,3.0,126.0
020031707,149.0,5.0,7.0,161.0
020031708,193.0,3.0,18.0,214.0
020031709,123.0,1.0,3.0,127.0
020031801,98.0,3.0,2.0,103.0
020031802,122.0,1.0,2.0,125.0
020031803,71.0,3.0,1.0,75.0
020031804,114.0,1.0,0.0,115.0
020031805,51.0,0.0,2.0,53.0
020031806,101.0,1.0,4.0,106.0
020031807,103.0,3.0,2.0,108.0
