Código,"Cerámica, baldosa, mosaico, mármol, madera o alfombrado",Cemento o ladrillo fijo,Tierra o ladrillo suelto,Otro,Total,CO_FRAC_RA
020020709,277.0,1.0,0.0,0.0,278.0,2_7_9
020020801,342.0,0.0,0.0,5.0,347.0,2_8_1
020020802,305.0,1.0,0.0,0.0,306.0,2_8_2
020020803,449.0,6.0,0.0,2.0,457.0,2_8_3
020020804,471.0,3.0,0.0,4.0,478.0,2_8_4
020020805,409.0,3.0,0.0,1.0,413.0,2_8_5
020020806,621.0,3.0,0.0,1.0,625.0,2_8_6
020020807,702.0,2.0,0.0,3.0,707.0,2_8_7
020020808,356.0,0.0,0.0,1.0,357.0,2_8_8
020020901,398.0,1.0,0.0,0.0,399.0,2_9_1
020020902,217.0,1.0,0.0,0.0,218.0,2_9_2
020020903,450.0,1.0,0.0,0.0,451.0,2_9_3
020020904,458.0,2.0,0.0,1.0,461.0,2_9_4
020020905,487.0,1.0,0.0,0.0,488.0,2_9_5
020020906,440.0,1.0,0.0,0.0,441.0,2_9_6
020020907,472.0,0.0,0.0,0.0,472.0,2_9_7
020020908,648.0,1.0,0.0,0.0,649.0,2_9_8
020020909,548.0,0.0,0.0,2.0,550.0,2_9_9
020021001,512.0,4.0,0.0,3.0,519.0,2_10_1
020021002,364.0,1.0,0.0,1.0,366.0,2_10_2
020021003,209.0,0.0,0.0,0.0,209.0,2_10_3
020021004,343.0,1.0,0.0,0.0,344.0,2_10_4
020021005,423.0,1.0,0.0,2.0,426.0,2_10_5
020021006,320.0,0.0,0.0,1.0,321.0,2_10_6
020021007,473.0,0.0,0.0,10.0,483.0,2_10_7
020021008,442.0,0.0,0.0,1.0,443.0,2_10_8
020021009,297.0,2.0,0.0,0.0,299.0,2_10_9
020021101,610.0,4.0,0.0,7.0,621.0,2_11_1
020021102,240.0,1.0,0.0,0.0,241.0,2_11_2
020021103,670.0,2.0,0.0,0.0,672.0,2_11_3
020021104,661.0,6.0,0.0,1.0,668.0,2_11_4
020021105,167.0,2.0,0.0,0.0,169.0,2_11_5
020021106,305.0,0.0,0.0,0.0,305.0,2_11_6
020021201,432.0,2.0,0.0,1.0,435.0,2_12_1
020021202,399.0,3.0,0.0,0.0,402.0,2_12_2
020021203,452.0,0.0,0.0,5.0,457.0,2_12_3
020021204,699.0,3.0,0.0,2.0,704.0,2_12_4
020021205,611.0,4.0,0.0,0.0,615.0,2_12_5
020021206,494.0,4.0,0.0,0.0,498.0,2_12_6
020021301,593.0,2.0,0.0,0.0,595.0,2_13_1
020021302,416.0,2.0,0.0,0.0,418.0,2_13_2
020021303,510.0,3.0,0.0,3.0,516.0,2_13_3
020021304,550.0,5.0,0.0,0.0,555.0,2_13_4
020021305,641.0,4.0,0.0,2.0,647.0,2_13_5
020021306,381.0,0.0,0.0,1.0,382.0,2_13_6
020021307,630.0,1.0,0.0,3.0,634.0,2_13_7
020021401,248.0,0.0,0.0,0.0,248.0,2_14_1
020021402,304.0,1.0,0.0,1.0,306.0,2_14_2
020021403,175.0,0.0,0.0,0.0,175.0,2_14_3
020021404,368.0,1.0,0.0,0.0,369.0,2_14_4
020021405,497.0,0.0,0.0,2.0,499.0,2_14_5
020021406,523.0,1.0,0.0,8.0,532.0,2_14_6
020021407,346.0,0.0,0.0,2.0,348.0,2_14_7
020021408,379.0,1.0,0.0,0.0,380.0,2_14_8
020021409,602.0,1.0,0.0,2.0,605.0,2_14_9
020021410,536.0,1.0,0.0,0.0,537.0,2_14_10
020021501,266.0,0.0,0.0,0.0,266.0,2_15_1
