Código,Argentina,Otro país,Total,CO_FRAC_RA
020030505,557.0,53.0,610.0,3_5_5
020030506,388.0,53.0,441.0,3_5_6
020030507,698.0,70.0,768.0,3_5_7
020030601,611.0,105.0,716.0,3_6_1
020030602,298.0,53.0,351.0,3_6_2
020030603,566.0,51.0,617.0,3_6_3
020030604,561.0,49.0,610.0,3_6_4
020030605,737.0,129.0,866.0,3_6_5
020030606,443.0,79.0,522.0,3_6_6
020030607,565.0,118.0,683.0,3_6_7
020030701,255.0,55.0,310.0,3_7_1
020030702,740.0,124.0,864.0,3_7_2
020030703,793.0,174.0,967.0,3_7_3
020030704,758.0,156.0,914.0,3_7_4
020030705,501.0,78.0,579.0,3_7_5
020030706,518.0,66.0,584.0,3_7_6
020030707,797.0,125.0,922.0,3_7_7
020030708,346.0,49.0,395.0,3_7_8
020030709,787.0,144.0,931.0,3_7_9
020030801,542.0,105.0,647.0,3_8_1
020030802,442.0,110.0,552.0,3_8_2
020030803,670.0,169.0,839.0,3_8_3
020030804,442.0,96.0,538.0,3_8_4
020030805,405.0,91.0,496.0,3_8_5
020030806,389.0,89.0,478.0,3_8_6
020030807,333.0,94.0,427.0,3_8_7
020030808,375.0,149.0,524.0,3_8_8
020030809,570.0,148.0,718.0,3_8_9
020030810,430.0,117.0,547.0,3_8_10
020030901,754.0,106.0,860.0,3_9_1
020030902,410.0,76.0,486.0,3_9_2
020030903,666.0,96.0,762.0,3_9_3
020030904,791.0,235.0,1026.0,3_9_4
020030905,482.0,112.0,594.0,3_9_5
020030906,409.0,88.0,497.0,3_9_6
020030907,541.0,235.0,776.0,3_9_7
020030908,610.0,130.0,740.0,3_9_8
020030909,729.0,74.0,803.0,3_9_9
020030910,629.0,158.0,787.0,3_9_10
020031001,631.0,155.0,786.0,3_10_1
020031002,596.0,224.0,820.0,3_10_2
020031003,711.0,241.0,952.0,3_10_3
020031004,613.0,120.0,733.0,3_10_4
020031005,372.0,97.0,469.0,3_10_5
020031006,607.0,369.0,976.0,3_10_6
020031007,605.0,137.0,742.0,3_10_7
020031008,527.0,131.0,658.0,3_10_8
020031101,685.0,124.0,809.0,3_11_1
020031102,776.0,158.0,934.0,3_11_2
020031103,623.0,275.0,898.0,3_11_3
020031104,1037.0,176.0,1213.0,3_11_4
020031105,595.0,109.0,704.0,3_11_5
