Código,Sí,No,Total,CO_FRAC_RA
020030408,259.0,12.0,271.0,3_4_8
020030501,356.0,17.0,373.0,3_5_1
020030502,288.0,3.0,291.0,3_5_2
020030503,464.0,5.0,469.0,3_5_3
020030504,258.0,4.0,262.0,3_5_4
020030505,328.0,2.0,330.0,3_5_5
020030506,210.0,5.0,215.0,3_5_6
020030507,367.0,1.0,368.0,3_5_7
020030601,346.0,8.0,354.0,3_6_1
020030602,166.0,9.0,175.0,3_6_2
020030603,311.0,1.0,312.0,3_6_3
020030604,320.0,0.0,320.0,3_6_4
020030605,305.0,24.0,329.0,3_6_5
020030606,251.0,4.0,255.0,3_6_6
020030607,311.0,1.0,312.0,3_6_7
020030701,135.0,1.0,136.0,3_7_1
020030702,401.0,14.0,415.0,3_7_2
020030703,424.0,29.0,453.0,3_7_3
020030704,365.0,4.0,369.0,3_7_4
020030705,266.0,2.0,268.0,3_7_5
020030706,279.0,4.0,283.0,3_7_6
020030707,499.0,5.0,504.0,3_7_7
020030708,151.0,8.0,159.0,3_7_8
020030709,396.0,8.0,404.0,3_7_9
020030801,313.0,8.0,321.0,3_8_1
020030802,211.0,1.0,212.0,3_8_2
020030803,340.0,1.0,341.0,3_8_3
020030804,216.0,1.0,217.0,3_8_4
020030805,212.0,4.0,216.0,3_8_5
020030806,201.0,2.0,203.0,3_8_6
020030807,165.0,1.0,166.0,3_8_7
020030808,190.0,17.0,207.0,3_8_8
020030809,303.0,1.0,304.0,3_8_9
020030810,226.0,30.0,256.0,3_8_10
020030901,379.0,9.0,388.0,3_9_1
020030902,205.0,1.0,206.0,3_9_2
020030903,342.0,0.0,342.0,3_9_3
020030904,402.0,12.0,414.0,3_9_4
020030905,214.0,8.0,222.0,3_9_5
020030906,192.0,4.0,196.0,3_9_6
020030907,235.0,57.0,292.0,3_9_7
020030908,269.0,43.0,312.0,3_9_8
020030909,365.0,6.0,371.0,3_9_9
020030910,294.0,32.0,326.0,3_9_10
020031001,373.0,4.0,377.0,3_10_1
020031002,311.0,12.0,323.0,3_10_2
020031003,251.0,6.0,257.0,3_10_3
020031004,292.0,6.0,298.0,3_10_4
020031005,196.0,6.0,202.0,3_10_5
020031006,372.0,18.0,390.0,3_10_6
020031007,335.0,5.0,340.0,3_10_7
020031008,243.0,31.0,274.0,3_10_8
020031101,365.0,2.0,367.0,3_11_1
020031102,403.0,51.0,454.0,3_11_2
020031103,346.0,38.0,384.0,3_11_3
020031104,375.0,11.0,386.0,3_11_4
020031105,304.0,12.0,316.0,3_11_5
020031106,364.0,51.0,415.0,3_11_6
020031107,415.0,22.0,437.0,3_11_7
020031108,271.0,13.0,284.0,3_11_8
020031201,349.0,1.0,350.0,3_12_1
020031202,402.0,26.0,428.0,3_12_2
020031203,289.0,21.0,310.0,3_12_3
