Código,Hasta   0.50 personas por cuarto,0.51  -  0.99  personas por cuarto,1.00  -  1.49  personas por cuarto,1.50  -  1.99  personas por cuarto,2.00  -  3.00  personas por cuarto,Más de  3.00 personas por cuarto,Total,CO_FRAC_RA
020011907,68.0,35.0,121.0,22.0,74.0,5.0,325.0,1_19_7
020011908,19.0,4.0,71.0,10.0,46.0,10.0,160.0,1_19_8
020011909,79.0,31.0,79.0,13.0,14.0,7.0,223.0,1_19_9
020012001,62.0,27.0,92.0,13.0,49.0,16.0,259.0,1_20_1
020012002,105.0,37.0,92.0,22.0,38.0,4.0,298.0,1_20_2
020012003,67.0,41.0,82.0,15.0,30.0,3.0,238.0,1_20_3
020012004,107.0,50.0,123.0,23.0,34.0,6.0,343.0,1_20_4
020012005,129.0,37.0,130.0,11.0,39.0,6.0,352.0,1_20_5
020012006,118.0,48.0,113.0,14.0,35.0,8.0,336.0,1_20_6
020012007,57.0,42.0,80.0,11.0,14.0,3.0,207.0,1_20_7
020012008,30.0,17.0,88.0,17.0,58.0,8.0,218.0,1_20_8
020012009,73.0,33.0,80.0,20.0,34.0,7.0,247.0,1_20_9
020012010,78.0,41.0,91.0,22.0,47.0,37.0,316.0,1_20_10
020012101,71.0,25.0,80.0,16.0,58.0,16.0,266.0,1_21_1
020012102,66.0,34.0,89.0,13.0,46.0,18.0,266.0,1_21_2
020012103,42.0,25.0,42.0,5.0,51.0,5.0,170.0,1_21_3
020012104,119.0,63.0,145.0,23.0,126.0,24.0,500.0,1_21_4
020012105,82.0,41.0,81.0,13.0,46.0,12.0,275.0,1_21_5
020012106,61.0,36.0,106.0,12.0,49.0,0.0,264.0,1_21_6
020012107,91.0,37.0,113.0,10.0,66.0,15.0,332.0,1_21_7
020012108,58.0,42.0,95.0,13.0,29.0,3.0,240.0,1_21_8
020012109,99.0,42.0,124.0,17.0,43.0,3.0,328.0,1_21_9
020012110,98.0,36.0,150.0,13.0,72.0,7.0,376.0,1_21_10
020012201,84.0,52.0,93.0,13.0,19.0,0.0,261.0,1_22_1
020012202,150.0,70.0,151.0,19.0,29.0,3.0,422.0,1_22_2
020012203,124.0,62.0,114.0,16.0,43.0,12.0,371.0,1_22_3
020012204,87.0,20.0,65.0,12.0,20.0,3.0,207.0,1_22_4
020012205,72.0,23.0,70.0,15.0,6.0,0.0,186.0,1_22_5
020012206,87.0,31.0,83.0,19.0,32.0,7.0,259.0,1_22_6
020012207,102.0,13.0,76.0,21.0,48.0,8.0,268.0,1_22_7
020012208,85.0,21.0,124.0,13.0,30.0,3.0,276.0,1_22_8
020012209,105.0,67.0,142.0,18.0,34.0,11.0,377.0,1_22_9
020012210,167.0,74.0,202.0,34.0,100.0,5.0,582.0,1_22_10
020012301,103.0,54.0,86.0,17.0,11.0,1.0,272.0,1_23_1
020012302,80.0,51.0,69.0,6.0,13.0,0.0,219.0,1_23_2
020012303,141.0,59.0,134.0,16.0,23.0,0.0,373.0,1_23_3
020012304,33.0,14.0,38.0,7.0,26.0,13.0,131.0,1_23_4
020012305,71.0,48.0,62.0,17.0,26.0,4.0,228.0,1_23_5
020012306,106.0,41.0,51.0,8.0,7.0,1.0,214.0,1_23_6
020012307,89.0,31.0,93.0,11.0,33.0,8.0,265.0,1_23_7
020012308,122.0,66.0,92.0,6.0,24.0,5.0,315.0,1_23_8
020012309,137.0,74.0,139.0,26.0,24.0,5.0,405.0,1_23_9
020012310,36.0,14.0,58.0,8.0,27.0,7.0,150.0,1_23_10
020012401,36.0,15.0,41.0,2.0,19.0,0.0,113.0,1_24_1
020012402,56.0,28.0,43.0,5.0,12.0,1.0,145.0,1_24_2
020012403,53.0,16.0,94.0,14.0,20.0,3.0,200.0,1_24_3
020012404,59.0,31.0,59.0,5.0,14.0,0.0,168.0,1_24_4
020012405,65.0,23.0,58.0,9.0,11.0,2.0,168.0,1_24_5
020012406,153.0,60.0,102.0,22.0,27.0,1.0,365.0,1_24_6
020012407,103.0,36.0,90.0,12.0,14.0,6.0,261.0,1_24_7
020012408,51.0,25.0,59.0,15.0,31.0,3.0,184.0,1_24_8
020012501,66.0,40.0,50.0,4.0,13.0,2.0,175.0,1_25_1
020012502,75.0,36.0,48.0,10.0,9.0,1.0,179.0,1_25_2
020012503,104.0,24.0,73.0,11.0,9.0,0.0,221.0,1_25_3
020012504,133.0,73.0,159.0,28.0,34.0,3.0,430.0,1_25_4
020012505,94.0,31.0,80.0,13.0,8.0,0.0,226.0,1_25_5
020012506,98.0,46.0,132.0,18.0,51.0,6.0,351.0,1_25_6
020012507,69.0,14.0,61.0,21.0,26.0,2.0,193.0,1_25_7
020012508,110.0,49.0,113.0,14.0,34.0,1.0,321.0,1_25_8
020012509,66.0,21.0,39.0,6.0,42.0,38.0,212.0,1_25_9
020012510,89.0,42.0,63.0,10.0,19.0,4.0,227.0,1_25_10
020012511,111.0,38.0,74.0,11.0,16.0,2.0,252.0,1_25_11
020012601,61.0,15.0,102.0,15.0,45.0,11.0,249.0,1_26_1
020012602,95.0,44.0,118.0,12.0,42.0,9.0,320.0,1_26_2
020012603,83.0,22.0,73.0,12.0,25.0,2.0,217.0,1_26_3
020012604,84.0,45.0,77.0,12.0,26.0,0.0,244.0,1_26_4
020012605,105.0,39.0,96.0,22.0,37.0,11.0,310.0,1_26_5
020012606,82.0,30.0,72.0,13.0,15.0,2.0,214.0,1_26_6
020012607,46.0,17.0,54.0,13.0,12.0,0.0,142.0,1_26_7
020012608,82.0,39.0,71.0,15.0,6.0,0.0,213.0,1_26_8
020012609,108.0,45.0,109.0,15.0,34.0,5.0,316.0,1_26_9
020012701,72.0,35.0,72.0,30.0,24.0,1.0,234.0,1_27_1
020012702,34.0,10.0,110.0,9.0,92.0,20.0,275.0,1_27_2
020012703,56.0,29.0,104.0,23.0,67.0,14.0,293.0,1_27_3
020012704,57.0,20.0,122.0,14.0,91.0,21.0,325.0,1_27_4
020012705,83.0,30.0,109.0,29.0,36.0,1.0,288.0,1_27_5
020012706,30.0,19.0,123.0,13.0,140.0,34.0,359.0,1_27_6
020012707,49.0,34.0,74.0,12.0,67.0,29.0,265.0,1_27_7
020012708,96.0,37.0,68.0,16.0,28.0,10.0,255.0,1_27_8
020012709,82.0,35.0,118.0,16.0,59.0,14.0,324.0,1_27_9
020012710,121.0,36.0,72.0,10.0,9.0,0.0,248.0,1_27_10
020012801,71.0,35.0,76.0,12.0,23.0,3.0,220.0,1_28_1
020012802,55.0,11.0,124.0,25.0,95.0,35.0,345.0,1_28_2
020012803,41.0,38.0,78.0,11.0,58.0,15.0,241.0,1_28_3
020012804,85.0,29.0,90.0,13.0,49.0,14.0,280.0,1_28_4
