Código,Sí,No,Total,CO_FRAC_RA
020030907,148.0,144.0,292.0,3_9_7
020030908,164.0,148.0,312.0,3_9_8
020030909,255.0,116.0,371.0,3_9_9
020030910,191.0,135.0,326.0,3_9_10
020031001,220.0,157.0,377.0,3_10_1
020031002,207.0,116.0,323.0,3_10_2
020031003,164.0,93.0,257.0,3_10_3
020031004,222.0,76.0,298.0,3_10_4
020031005,147.0,55.0,202.0,3_10_5
020031006,240.0,150.0,390.0,3_10_6
020031007,211.0,129.0,340.0,3_10_7
020031008,161.0,113.0,274.0,3_10_8
020031101,272.0,95.0,367.0,3_11_1
020031102,282.0,172.0,454.0,3_11_2
020031103,209.0,175.0,384.0,3_11_3
020031104,274.0,112.0,386.0,3_11_4
020031105,228.0,88.0,316.0,3_11_5
020031106,236.0,179.0,415.0,3_11_6
020031107,292.0,145.0,437.0,3_11_7
020031108,197.0,87.0,284.0,3_11_8
020031201,236.0,114.0,350.0,3_12_1
020031202,286.0,142.0,428.0,3_12_2
020031203,156.0,154.0,310.0,3_12_3
