Código,Sí,No,Total,CO_FRAC_RA
020030402,183.0,33.0,216.0,3_4_2
020030403,245.0,34.0,279.0,3_4_3
020030404,301.0,25.0,326.0,3_4_4
020030405,253.0,35.0,288.0,3_4_5
020030406,277.0,31.0,308.0,3_4_6
020030407,223.0,47.0,270.0,3_4_7
020030408,230.0,41.0,271.0,3_4_8
020030501,335.0,38.0,373.0,3_5_1
020030502,264.0,27.0,291.0,3_5_2
020030503,414.0,55.0,469.0,3_5_3
020030504,230.0,32.0,262.0,3_5_4
020030505,295.0,35.0,330.0,3_5_5
020030506,198.0,17.0,215.0,3_5_6
020030507,324.0,44.0,368.0,3_5_7
020030601,305.0,49.0,354.0,3_6_1
020030602,147.0,28.0,175.0,3_6_2
020030603,280.0,32.0,312.0,3_6_3
020030604,284.0,36.0,320.0,3_6_4
020030605,296.0,33.0,329.0,3_6_5
020030606,214.0,41.0,255.0,3_6_6
020030607,271.0,41.0,312.0,3_6_7
020030701,117.0,19.0,136.0,3_7_1
020030702,351.0,64.0,415.0,3_7_2
020030703,391.0,62.0,453.0,3_7_3
020030704,318.0,51.0,369.0,3_7_4
020030705,237.0,31.0,268.0,3_7_5
020030706,243.0,40.0,283.0,3_7_6
020030707,422.0,82.0,504.0,3_7_7
020030708,134.0,25.0,159.0,3_7_8
020030709,333.0,71.0,404.0,3_7_9
020030801,261.0,60.0,321.0,3_8_1
020030802,185.0,27.0,212.0,3_8_2
020030803,292.0,49.0,341.0,3_8_3
020030804,196.0,21.0,217.0,3_8_4
020030805,186.0,30.0,216.0,3_8_5
020030806,164.0,39.0,203.0,3_8_6
020030807,135.0,31.0,166.0,3_8_7
020030808,180.0,27.0,207.0,3_8_8
020030809,263.0,41.0,304.0,3_8_9
020030810,220.0,36.0,256.0,3_8_10
020030901,329.0,59.0,388.0,3_9_1
020030902,173.0,33.0,206.0,3_9_2
020030903,309.0,33.0,342.0,3_9_3
020030904,351.0,63.0,414.0,3_9_4
020030905,194.0,28.0,222.0,3_9_5
020030906,165.0,31.0,196.0,3_9_6
020030907,255.0,37.0,292.0,3_9_7
020030908,263.0,49.0,312.0,3_9_8
020030909,319.0,52.0,371.0,3_9_9
020030910,276.0,50.0,326.0,3_9_10
020031001,317.0,60.0,377.0,3_10_1
020031002,278.0,45.0,323.0,3_10_2
020031003,223.0,34.0,257.0,3_10_3
020031004,257.0,41.0,298.0,3_10_4
020031005,174.0,28.0,202.0,3_10_5
020031006,352.0,38.0,390.0,3_10_6
020031007,276.0,64.0,340.0,3_10_7
020031008,233.0,41.0,274.0,3_10_8
020031101,315.0,52.0,367.0,3_11_1
020031102,390.0,64.0,454.0,3_11_2
020031103,336.0,48.0,384.0,3_11_3
020031104,343.0,43.0,386.0,3_11_4
020031105,281.0,35.0,316.0,3_11_5
020031106,361.0,54.0,415.0,3_11_6
020031107,374.0,63.0,437.0,3_11_7
020031108,250.0,34.0,284.0,3_11_8
020031201,293.0,57.0,350.0,3_12_1
020031202,366.0,62.0,428.0,3_12_2
020031203,245.0,65.0,310.0,3_12_3
