Código,A red pública (cloaca),A cámara séptica y pozo ciego,Sólo a pozo ciego,"A hoyo, excavación en la tierra, etc.",Total,CO_FRAC_RA
020012402,145.0,0.0,0.0,0.0,145.0,1_24_2
020012403,192.0,6.0,0.0,0.0,198.0,1_24_3
020012404,158.0,1.0,0.0,0.0,159.0,1_24_4
020012405,168.0,0.0,0.0,0.0,168.0,1_24_5
020012406,365.0,0.0,0.0,0.0,365.0,1_24_6
020012407,259.0,1.0,1.0,0.0,261.0,1_24_7
020012408,184.0,0.0,0.0,0.0,184.0,1_24_8
020012501,172.0,1.0,0.0,0.0,173.0,1_25_1
020012502,177.0,2.0,0.0,0.0,179.0,1_25_2
020012503,221.0,0.0,0.0,0.0,221.0,1_25_3
020012504,429.0,1.0,0.0,0.0,430.0,1_25_4
020012505,226.0,0.0,0.0,0.0,226.0,1_25_5
020012506,349.0,2.0,0.0,0.0,351.0,1_25_6
020012507,193.0,0.0,0.0,0.0,193.0,1_25_7
020012508,321.0,0.0,0.0,0.0,321.0,1_25_8
020012509,201.0,4.0,1.0,0.0,206.0,1_25_9
020012510,227.0,0.0,0.0,0.0,227.0,1_25_10
020012511,252.0,0.0,0.0,0.0,252.0,1_25_11
020012601,241.0,2.0,0.0,0.0,243.0,1_26_1
020012602,319.0,0.0,0.0,0.0,319.0,1_26_2
020012603,216.0,1.0,0.0,0.0,217.0,1_26_3
020012604,243.0,1.0,0.0,0.0,244.0,1_26_4
020012605,300.0,0.0,0.0,0.0,300.0,1_26_5
020012606,212.0,1.0,0.0,1.0,214.0,1_26_6
020012607,141.0,0.0,0.0,1.0,142.0,1_26_7
020012608,213.0,0.0,0.0,0.0,213.0,1_26_8
020012609,314.0,2.0,0.0,0.0,316.0,1_26_9
020012701,232.0,2.0,0.0,0.0,234.0,1_27_1
020012702,265.0,0.0,0.0,0.0,265.0,1_27_2
020012703,272.0,12.0,1.0,0.0,285.0,1_27_3
020012704,312.0,6.0,0.0,0.0,318.0,1_27_4
020012705,268.0,2.0,0.0,0.0,270.0,1_27_5
020012706,280.0,11.0,0.0,0.0,291.0,1_27_6
020012707,259.0,5.0,1.0,0.0,265.0,1_27_7
020012708,253.0,0.0,0.0,0.0,253.0,1_27_8
020012709,306.0,0.0,0.0,1.0,307.0,1_27_9
020012710,231.0,0.0,0.0,0.0,231.0,1_27_10
020012801,196.0,0.0,0.0,0.0,196.0,1_28_1
020012802,268.0,2.0,0.0,0.0,270.0,1_28_2
020012803,241.0,0.0,0.0,0.0,241.0,1_28_3
020012804,277.0,0.0,0.0,0.0,277.0,1_28_4
020012805,353.0,1.0,0.0,0.0,354.0,1_28_5
020012806,265.0,4.0,0.0,0.0,269.0,1_28_6
020012807,285.0,2.0,0.0,0.0,287.0,1_28_7
020012808,109.0,0.0,0.0,0.0,109.0,1_28_8
020012809,242.0,0.0,1.0,0.0,243.0,1_28_9
020012810,324.0,1.0,0.0,0.0,325.0,1_28_10
020012811,182.0,0.0,0.0,0.0,182.0,1_28_11
020012812,204.0,4.0,0.0,0.0,208.0,1_28_12
020012813,221.0,1.0,1.0,0.0,223.0,1_28_13
020012901,402.0,0.0,0.0,0.0,402.0,1_29_1
020012902,220.0,1.0,0.0,0.0,221.0,1_29_2
020012903,270.0,1.0,1.0,0.0,272.0,1_29_3
020012904,269.0,0.0,0.0,0.0,269.0,1_29_4
020012905,290.0,3.0,0.0,0.0,293.0,1_29_5
020012906,309.0,6.0,0.0,0.0,315.0,1_29_6
020012907,300.0,1.0,0.0,0.0,301.0,1_29_7
020012908,257.0,2.0,0.0,0.0,259.0,1_29_8
020012909,372.0,1.0,0.0,0.0,373.0,1_29_9
020020101,16.0,4.0,1.0,0.0,21.0,2_1_1
020020102,38.0,41.0,47.0,2.0,128.0,2_1_2
020020201,236.0,13.0,3.0,0.0,252.0,2_2_1
020020202,362.0,0.0,0.0,0.0,362.0,2_2_2
020020203,229.0,0.0,0.0,0.0,229.0,2_2_3
020020204,204.0,1.0,0.0,0.0,205.0,2_2_4
020020205,259.0,0.0,0.0,0.0,259.0,2_2_5
020020206,195.0,2.0,0.0,0.0,197.0,2_2_6
020020207,141.0,0.0,0.0,0.0,141.0,2_2_7
020020208,280.0,2.0,0.0,0.0,282.0,2_2_8
020020301,399.0,0.0,0.0,0.0,399.0,2_3_1
020020302,411.0,0.0,0.0,0.0,411.0,2_3_2
020020303,100.0,0.0,0.0,0.0,100.0,2_3_3
020020304,188.0,0.0,0.0,0.0,188.0,2_3_4
020020305,291.0,2.0,0.0,0.0,293.0,2_3_5
020020306,257.0,0.0,0.0,0.0,257.0,2_3_6
020020307,353.0,0.0,0.0,0.0,353.0,2_3_7
020020308,234.0,0.0,0.0,0.0,234.0,2_3_8
020020401,313.0,0.0,0.0,0.0,313.0,2_4_1
020020402,109.0,0.0,0.0,0.0,109.0,2_4_2
020020403,72.0,0.0,0.0,0.0,72.0,2_4_3
020020404,195.0,0.0,0.0,0.0,195.0,2_4_4
020020405,284.0,0.0,0.0,0.0,284.0,2_4_5
020020406,211.0,0.0,0.0,0.0,211.0,2_4_6
020020407,235.0,0.0,0.0,0.0,235.0,2_4_7
020020408,424.0,0.0,0.0,0.0,424.0,2_4_8
020020409,331.0,0.0,0.0,0.0,331.0,2_4_9
020020410,429.0,1.0,0.0,0.0,430.0,2_4_10
020020501,254.0,2.0,0.0,0.0,256.0,2_5_1
020020502,308.0,3.0,0.0,0.0,311.0,2_5_2
020020503,255.0,0.0,0.0,0.0,255.0,2_5_3
020020504,226.0,0.0,0.0,0.0,226.0,2_5_4
020020505,324.0,0.0,0.0,0.0,324.0,2_5_5
020020506,327.0,0.0,0.0,0.0,327.0,2_5_6
020020507,313.0,0.0,0.0,0.0,313.0,2_5_7
020020508,327.0,1.0,0.0,0.0,328.0,2_5_8
020020509,271.0,0.0,0.0,0.0,271.0,2_5_9
020020601,175.0,0.0,0.0,0.0,175.0,2_6_1
020020602,572.0,0.0,0.0,0.0,572.0,2_6_2
020020603,226.0,0.0,0.0,0.0,226.0,2_6_3
020020604,333.0,0.0,0.0,0.0,333.0,2_6_4
020020605,183.0,0.0,0.0,0.0,183.0,2_6_5
020020606,319.0,1.0,0.0,0.0,320.0,2_6_6
020020607,174.0,1.0,0.0,0.0,175.0,2_6_7
020020608,213.0,0.0,0.0,0.0,213.0,2_6_8
020020609,271.0,0.0,0.0,0.0,271.0,2_6_9
020020610,228.0,0.0,0.0,0.0,228.0,2_6_10
020020701,573.0,0.0,0.0,0.0,573.0,2_7_1
020020702,493.0,0.0,0.0,0.0,493.0,2_7_2
020020703,359.0,1.0,0.0,0.0,360.0,2_7_3
020020704,267.0,0.0,0.0,0.0,267.0,2_7_4
020020705,244.0,0.0,0.0,0.0,244.0,2_7_5
020020706,271.0,0.0,0.0,0.0,271.0,2_7_6
020020707,409.0,0.0,0.0,0.0,409.0,2_7_7
020020708,170.0,0.0,2.0,0.0,172.0,2_7_8
020020709,278.0,0.0,0.0,0.0,278.0,2_7_9
020020801,347.0,0.0,0.0,0.0,347.0,2_8_1
020020802,306.0,0.0,0.0,0.0,306.0,2_8_2
020020803,457.0,0.0,0.0,0.0,457.0,2_8_3
020020804,477.0,0.0,0.0,0.0,477.0,2_8_4
020020805,412.0,1.0,0.0,0.0,413.0,2_8_5
020020806,623.0,1.0,1.0,0.0,625.0,2_8_6
020020807,704.0,2.0,0.0,0.0,706.0,2_8_7
020020808,357.0,0.0,0.0,0.0,357.0,2_8_8
020020901,399.0,0.0,0.0,0.0,399.0,2_9_1
020020902,218.0,0.0,0.0,0.0,218.0,2_9_2
020020903,451.0,0.0,0.0,0.0,451.0,2_9_3
020020904,461.0,0.0,0.0,0.0,461.0,2_9_4
020020905,488.0,0.0,0.0,0.0,488.0,2_9_5
020020906,441.0,0.0,0.0,0.0,441.0,2_9_6
020020907,472.0,0.0,0.0,0.0,472.0,2_9_7
020020908,648.0,1.0,0.0,0.0,649.0,2_9_8
020020909,548.0,0.0,0.0,0.0,548.0,2_9_9
020021001,516.0,1.0,1.0,0.0,518.0,2_10_1
