,Código,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95 y más,Total
117,020011008,9.0,9.0,6.0,19.0,23.0,34.0,28.0,19.0,19.0,20.0,25.0,12.0,17.0,15.0,8.0,6.0,7.0,3.0,0.0,0.0,279.0
118,020011009,11.0,17.0,14.0,21.0,28.0,42.0,44.0,26.0,16.0,16.0,23.0,17.0,19.0,15.0,14.0,10.0,3.0,3.0,2.0,0.0,341.0
119,020011010,40.0,36.0,26.0,49.0,77.0,74.0,70.0,46.0,46.0,38.0,36.0,36.0,31.0,20.0,17.0,16.0,14.0,7.0,1.0,0.0,680.0
120,020011011,21.0,16.0,14.0,26.0,66.0,83.0,55.0,51.0,25.0,23.0,38.0,50.0,42.0,27.0,21.0,20.0,21.0,8.0,4.0,1.0,612.0
121,020011012,19.0,8.0,19.0,25.0,72.0,67.0,54.0,39.0,27.0,34.0,39.0,40.0,25.0,24.0,23.0,19.0,28.0,11.0,7.0,4.0,584.0
122,020011013,14.0,18.0,14.0,24.0,70.0,88.0,67.0,43.0,34.0,34.0,40.0,37.0,45.0,38.0,26.0,32.0,29.0,17.0,6.0,2.0,678.0
123,020011014,6.0,9.0,5.0,10.0,31.0,32.0,19.0,19.0,14.0,16.0,10.0,11.0,12.0,10.0,6.0,2.0,3.0,1.0,1.0,1.0,218.0
124,020011101,10.0,5.0,15.0,30.0,55.0,69.0,65.0,52.0,18.0,29.0,28.0,27.0,22.0,24.0,19.0,18.0,11.0,11.0,3.0,1.0,512.0
125,020011102,9.0,10.0,8.0,12.0,40.0,72.0,54.0,37.0,17.0,24.0,26.0,22.0,23.0,20.0,22.0,10.0,7.0,9.0,5.0,1.0,428.0
126,020011103,12.0,10.0,11.0,25.0,41.0,42.0,26.0,39.0,20.0,22.0,28.0,23.0,13.0,17.0,9.0,11.0,5.0,0.0,0.0,0.0,354.0
127,020011104,23.0,21.0,15.0,33.0,66.0,94.0,70.0,54.0,20.0,39.0,52.0,35.0,39.0,38.0,25.0,13.0,14.0,8.0,7.0,1.0,667.0
128,020011105,14.0,17.0,20.0,26.0,67.0,69.0,64.0,35.0,34.0,28.0,30.0,37.0,28.0,20.0,13.0,12.0,10.0,4.0,1.0,0.0,529.0
129,020011106,16.0,14.0,14.0,14.0,40.0,46.0,36.0,44.0,34.0,32.0,24.0,26.0,32.0,19.0,22.0,9.0,11.0,12.0,1.0,1.0,447.0
130,020011107,19.0,14.0,11.0,19.0,63.0,83.0,55.0,36.0,27.0,28.0,29.0,31.0,38.0,23.0,21.0,11.0,8.0,6.0,0.0,3.0,525.0
131,020011108,28.0,26.0,24.0,31.0,70.0,81.0,90.0,68.0,49.0,57.0,47.0,54.0,57.0,38.0,33.0,22.0,25.0,14.0,3.0,0.0,817.0
132,020011109,22.0,12.0,19.0,23.0,52.0,67.0,48.0,28.0,20.0,25.0,26.0,23.0,26.0,22.0,10.0,9.0,11.0,10.0,2.0,0.0,455.0
133,020011110,8.0,21.0,19.0,34.0,98.0,92.0,48.0,56.0,33.0,39.0,38.0,29.0,26.0,25.0,16.0,17.0,15.0,2.0,2.0,3.0,621.0
134,020011111,9.0,6.0,17.0,14.0,24.0,20.0,25.0,17.0,16.0,23.0,17.0,15.0,8.0,13.0,13.0,13.0,6.0,5.0,5.0,0.0,266.0
135,020011112,38.0,25.0,49.0,39.0,116.0,105.0,93.0,60.0,67.0,57.0,42.0,52.0,42.0,33.0,32.0,23.0,36.0,14.0,7.0,3.0,933.0
136,020011113,27.0,16.0,26.0,25.0,54.0,88.0,75.0,41.0,41.0,33.0,36.0,36.0,48.0,33.0,37.0,16.0,21.0,8.0,3.0,2.0,666.0
137,020011114,21.0,21.0,103.0,41.0,64.0,70.0,92.0,46.0,50.0,47.0,43.0,44.0,36.0,37.0,26.0,15.0,13.0,2.0,1.0,2.0,774.0
