,Código,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85-89,90-94,95 y más,Total
236,0201111,393.0,473.0,448.0,478.0,523.0,593.0,577.0,515.0,467.0,487.0,548.0,462.0,415.0,321.0,302.0,242.0,193.0,109.0,31.0,5.0,7582.0
237,0201112,342.0,385.0,412.0,400.0,448.0,478.0,556.0,525.0,445.0,468.0,445.0,431.0,371.0,343.0,274.0,256.0,201.0,110.0,50.0,14.0,6954.0
238,0201113,385.0,435.0,395.0,473.0,487.0,577.0,651.0,623.0,588.0,527.0,561.0,584.0,543.0,467.0,410.0,403.0,419.0,245.0,82.0,21.0,8876.0
239,0201114,411.0,404.0,384.0,367.0,452.0,465.0,549.0,558.0,425.0,449.0,458.0,421.0,438.0,420.0,278.0,259.0,232.0,136.0,48.0,8.0,7162.0
240,0201115,483.0,568.0,528.0,555.0,679.0,689.0,783.0,700.0,714.0,609.0,637.0,610.0,587.0,488.0,367.0,383.0,290.0,166.0,40.0,11.0,9887.0
241,0201116,488.0,487.0,429.0,439.0,504.0,507.0,665.0,639.0,546.0,495.0,476.0,419.0,424.0,364.0,306.0,280.0,239.0,122.0,39.0,8.0,7876.0
242,0201117,453.0,448.0,403.0,438.0,455.0,563.0,566.0,540.0,459.0,436.0,460.0,398.0,408.0,322.0,265.0,261.0,189.0,119.0,38.0,8.0,7229.0
243,0201118,523.0,528.0,454.0,485.0,550.0,657.0,777.0,708.0,572.0,514.0,481.0,434.0,375.0,355.0,270.0,229.0,215.0,140.0,52.0,14.0,8333.0
244,0201119,426.0,416.0,404.0,453.0,514.0,607.0,620.0,564.0,454.0,422.0,495.0,412.0,473.0,300.0,268.0,246.0,233.0,144.0,59.0,15.0,7525.0
245,0201120,487.0,555.0,535.0,590.0,645.0,633.0,667.0,649.0,600.0,533.0,624.0,555.0,463.0,364.0,265.0,235.0,235.0,123.0,30.0,9.0,8797.0
246,0201121,519.0,533.0,510.0,511.0,583.0,708.0,753.0,665.0,572.0,596.0,567.0,542.0,480.0,418.0,299.0,274.0,223.0,132.0,36.0,12.0,8933.0
247,0201122,492.0,532.0,564.0,561.0,651.0,773.0,808.0,712.0,589.0,636.0,573.0,564.0,502.0,421.0,328.0,277.0,243.0,159.0,64.0,9.0,9458.0
248,0201201,446.0,450.0,451.0,533.0,603.0,581.0,587.0,575.0,555.0,561.0,621.0,528.0,497.0,475.0,348.0,345.0,231.0,127.0,45.0,18.0,8577.0
249,0201202,422.0,378.0,422.0,422.0,494.0,513.0,625.0,594.0,450.0,509.0,446.0,440.0,386.0,340.0,301.0,329.0,260.0,142.0,38.0,16.0,7527.0
250,0201203,521.0,600.0,620.0,665.0,667.0,649.0,669.0,655.0,592.0,525.0,595.0,566.0,463.0,393.0,345.0,298.0,221.0,158.0,49.0,12.0,9263.0
251,0201204,463.0,429.0,426.0,489.0,549.0,584.0,626.0,643.0,518.0,527.0,563.0,482.0,392.0,394.0,299.0,263.0,221.0,126.0,42.0,8.0,8044.0
252,0201205,497.0,461.0,347.0,425.0,584.0,780.0,904.0,757.0,532.0,537.0,542.0,502.0,478.0,355.0,325.0,255.0,180.0,118.0,43.0,15.0,8637.0
253,0201206,480.0,428.0,423.0,442.0,531.0,627.0,728.0,702.0,554.0,506.0,501.0,494.0,442.0,400.0,316.0,278.0,244.0,106.0,39.0,6.0,8247.0
254,0201207,485.0,440.0,416.0,493.0,619.0,792.0,829.0,715.0,612.0,550.0,612.0,555.0,531.0,410.0,345.0,289.0,244.0,148.0,68.0,20.0,9173.0
255,0201208,545.0,526.0,446.0,460.0,610.0,767.0,859.0,798.0,660.0,639.0,628.0,516.0,530.0,450.0,331.0,262.0,218.0,122.0,48.0,16.0,9431.0
256,0201209,390.0,397.0,344.0,339.0,441.0,491.0,628.0,578.0,466.0,467.0,402.0,401.0,382.0,329.0,256.0,252.0,210.0,102.0,48.0,11.0,6934.0
