longitud;latitud;fecha;calle;numero;m2;dolares;u_s_m2;fot;distrito_c;fuente_;cotiz;pesos;m2__pesos_;barrio;comuna
-58.5024;-34.6091;2001-12-10;BAHIA BLANCA;2700;250;112000;448;0;C3 II;argenprop;1;112000;448;VILLA DEVOTO;11
-58.503;-34.6084;2001-12-10;BAHIA BLANCA;2800;1270;490000;385.8;0;R1b I;argenprop;1;490000;385.8;VILLA DEVOTO;11
-58.5037;-34.6076;2001-12-10;BAHIA BLANCA;2900;295;88000;298.3;0;R1b I;argenprop;1;88000;298.3;VILLA DEVOTO;11
-58.505;-34.6061;2001-12-10;BAHIA BLANCA;3100;156;89000;570.5;0;R2b II;argenprop;1;89000;570.5;VILLA DEVOTO;11
-58.506;-34.605;2001-12-10;BAHIA BLANCA;3200;156;89000;570.5;0;R2b II;clarin;1;89000;570.5;VILLA DEVOTO;11
-58.4956;-34.6066;2001-12-10;BAIGORRIA;3500;233;120000;515;0;R1b I;argenprop;1;120000;515;VILLA DEL PARQUE;11
-58.4783;-34.6684;2001-12-10;BALBASTRO;5300;395;68000;172.2;0;R2b II;argenprop;1;68000;172.2;VILLA LUGANO;8
-58.4637;-34.5633;2001-12-10;BALBIN RICARDO;2300;350;275000;785.7;0;R2a II;argenprop;1;275000;785.7;BELGRANO;13
-58.4844;-34.5835;2001-12-10;BALLIVIAN;3100;200;95000;475;0;R1b I 3;argenprop;1;95000;475;AGRONOMIA;15
-58.447;-34.6328;2001-12-10;FERNANDEZ MORENO;1500;876;595000;679.2;0;R2a II;argenprop;1;595000;679.2;PARQUE CHACABUCO;7
-58.407;-34.6254;2001-12-10;BARCALA;3000;300;120000;400;0;R2a II;argenprop;1;120000;400;SAN CRISTOBAL;3
-58.4745;-34.6831;2001-12-10;BARROS PAZOS;6200;285;63000;221.1;0;R2b II;argenprop;1;63000;221.1;VILLA RIACHUELO;8
